Column1,ID_RSSD_PREDECESSOR,ID_RSSD_SUCCESSOR,D_DT_TRANS,Transformation Code,Accounting Method,DT_TRANS,Year,Predecessor_Name,Successor_Name
318,4114567,852218,2023-05-01 00:00:00,Failure,Not Applicable,20230501,2023,FIRST REPUBLIC BANK                                                                                                     ,Chase
1108,3179318,852218,2021-12-31 00:00:00,Charter Discontinued,Merger,20211231,2021,ONE MORTGAGE PARTNERS CORP.                                                                                             ,Chase
2372,3118474,852218,2019-10-20 00:00:00,Charter Discontinued,Merger,20191020,2019,J.P. MORGAN TREASURY TECHNOLOGIES CORPORATION                                                                           ,Chase
2620,489913,852218,2019-05-19 00:00:00,Charter Discontinued,Merger,20190519,2019,"CHASE BANK USA, NATIONAL ASSOCIATION                                                                                    ",Chase
2621,1451364,852218,2019-05-19 00:00:00,Charter Discontinued,Merger,20190519,2019,"CHASE BANKCARD SERVICES, INC.                                                                                           ",Chase
2622,4515472,852218,2019-05-19 00:00:00,Charter Discontinued,Merger,20190519,2019,"BLOOMSPOT, INC.                                                                                                         ",Chase
6000,3812165,852218,2015-09-01 00:00:00,Charter Discontinued,Merger,20150901,2015,"JPMORGAN BANK AND TRUST COMPANY, NATIONAL ASSOCIATION                                                                   ",Chase
10125,931319,852218,2011-10-14 00:00:00,Charter Discontinued,Merger,20111014,2011,CUSTODIAL TRUST COMPANY                                                                                                 ,Chase
10167,1042137,852218,2011-10-01 00:00:00,Charter Discontinued,Merger,20111001,2011,CHASE AUTO FINANCE CORP.                                                                                                ,Chase
10171,1390137,852218,2011-10-01 00:00:00,Charter Discontinued,Merger,20111001,2011,J.P. MORGAN INVESTOR SERVICES CO.                                                                                       ,Chase
10468,1068342,852218,2011-06-01 00:00:00,Charter Discontinued,Merger,20110601,2011,"CHASE EQUIPMENT FINANCE, INC.                                                                                           ",Chase
10520,3329999,852218,2011-05-01 00:00:00,Charter Discontinued,Merger,20110501,2011,CHASE HOME FINANCE INC.                                                                                                 ,Chase
10521,3330025,852218,2011-05-01 00:00:00,Charter Discontinued,Merger,20110501,2011,CHASE HOME FINANCE LLC                                                                                                  ,Chase
11709,1091041,852218,2010-01-01 00:00:00,Charter Discontinued,Merger,20100101,2010,BANC ONE NATIONAL PROCESSING CORPORATION                                                                                ,Chase
11880,3755150,852218,2009-11-19 00:00:00,Charter Discontinued,Merger,20091119,2009,BEAR STEARNS FOREX INC.                                                                                                 ,Chase
12425,3755105,852218,2009-05-26 00:00:00,Charter Discontinued,Merger,20090526,2009,BEAR STEARNS FINANCIAL PRODUCTS INC.                                                                                    ,Chase
13134,1222108,852218,2008-09-26 00:00:00,Failure,Not Applicable,20080926,2008,WASHINGTON MUTUAL BANK                                                                                                  ,Chase
13135,2187071,852218,2008-09-26 00:00:00,Charter Discontinued,Purchase/Acquisition,20080926,2008,"KIMBALL JUNCTION BRANCH [JPMORGAN CHASE BANK, NATIONAL ASSOCIATION]",Chase
13230,2607382,852218,2008-08-16 00:00:00,Charter Discontinued,Merger,20080816,2008,"J.P. MORGAN TRUST COMPANY, NATIONAL ASSOCIATION                                                                         ",Chase
14150,2266305,852218,2007-09-21 00:00:00,Charter Discontinued,Merger,20070921,2007,"LIBERTY PAYMENT SERVICES, INC.                                                                                          ",Chase
15164,8417,852218,2006-10-21 00:00:00,Charter Discontinued,Merger,20061021,2006,"BANK ONE TRUST COMPANY, NATIONAL ASSOCIATION                                                                            ",Chase
15837,765578,852218,2006-03-01 00:00:00,Charter Discontinued,Merger,20060301,2006,"BANC ONE FINANCIAL SERVICES, INC.                                                                                       ",Chase
16920,2476083,852218,2005-03-18 00:00:00,Charter Discontinued,Merger,20050318,2005,BANC ONE MANAGEMENT CORPORATION                                                                                         ,Chase
17324,173333,852218,2004-11-13 00:00:00,Charter Discontinued,Merger,20041113,2004,"CHICAGO MAIN [JPMORGAN CHASE BANK, NATIONAL ASSOCIATION]",Chase
17325,651411,852218,2004-11-13 00:00:00,Charter Discontinued,Merger,20041113,2004,"BROAD STREET DOWNTOWN [JPMORGAN CHASE BANK, NATIONAL ASSOCIATION]",Chase
20640,1038176,852218,2001-12-21 00:00:00,Charter Discontinued,Merger,20011221,2001,WHITKATH INC.                                                                                                           ,Chase
20789,161415,852218,2001-11-10 00:00:00,Charter Discontinued,Merger,20011110,2001,"60 WALL STREET BRANCH [JPMORGAN CHASE BANK, NATIONAL ASSOCIATION]",Chase
21165,871460,852218,2001-08-01 00:00:00,Charter Discontinued,Merger,20010801,2001,"CHASE BANK OF TEXAS-SAN ANGELO, NATIONAL ASSOCIATION                                                                    ",Chase
22647,43557,852218,2000-08-01 00:00:00,Charter Discontinued,Merger,20000801,2000,"HOUSTON MAIN BRANCH [JPMORGAN CHASE BANK, NATIONAL ASSOCIATION]",Chase
24823,35619,852218,1999-03-05 00:00:00,Charter Discontinued,Merger,19990305,1999,TEXAS COMMERCE TRUST COMPANY OF NEW YORK                                                                                ,Chase
